,Муниципальное образование,median,count,Категория
0,ГОРОД АРСЕНЬЕВ,7,28,low
1,ГОРОД АРТЕМ,26,326,low
2,ГОРОД БОЛЬШОЙ КАМЕНЬ,139,34,low
3,ГОРОД ВЛАДИВОСТОК,15,5760,low
4,ГОРОД ДАЛЬНЕГОРСК,3,73,low
5,ГОРОД ДАЛЬНЕРЕЧЕНСК,68,38,low
6,ГОРОД ЛЕСОЗАВОДСК,249,30,low
7,ГОРОД НАХОДКА,84,346,low
8,ГОРОД ПАРТИЗАНСК,131,27,low
9,ГОРОД СПАССК-ДАЛЬНИЙ,1462,30,medium
10,ГОРОД УССУРИЙСК,20,300,low
11,ГОРОД ФОКИНО,383,21,low
12,РАЙОН АНУЧИНСКИЙ,3686,3,high
13,РАЙОН ДАЛЬНЕРЕЧЕНСКИЙ,710,8,medium
14,РАЙОН КАВАЛЕРОВСКИЙ,943,20,medium
15,РАЙОН КИРОВСКИЙ,106,7,low
16,РАЙОН КРАСНОАРМЕЙСКИЙ,6,17,low
17,РАЙОН ЛАЗОВСКИЙ,8787,8,high
18,РАЙОН МИХАЙЛОВСКИЙ,135,12,low
19,РАЙОН НАДЕЖДИНСКИЙ,7,79,low
20,РАЙОН ОКТЯБРЬСКИЙ,0,20,low
21,РАЙОН ОЛЬГИНСКИЙ,469,10,low
22,РАЙОН ПАРТИЗАНСКИЙ,907,22,medium
23,РАЙОН ПОГРАНИЧНЫЙ,501,10,medium
24,РАЙОН ПОЖАРСКИЙ,1000,31,medium
25,РАЙОН СПАССКИЙ,588,9,medium
26,РАЙОН ТЕРНЕЙСКИЙ,1,13,low
27,РАЙОН ХАНКАЙСКИЙ,0,8,low
28,РАЙОН ХАСАНСКИЙ,36,53,low
29,РАЙОН ХОРОЛЬСКИЙ,244,11,low
30,РАЙОН ЧЕРНИГОВСКИЙ,0,10,low
31,РАЙОН ЧУГУЕВСКИЙ,16,12,low
32,РАЙОН ШКОТОВСКИЙ,1510,16,high
33,РАЙОН ЯКОВЛЕВСКИЙ,0,5,low
